university_name	world_rank	country	teaching	international	research	citations	income	num_students	student_staff_ratio	intnl_students
California Institute of Technology	1	United States of America	92.2	67	98.1	99.7	89.1	2243	6.9	27
Harvard University	2	United States of America	92.9	67.6	98.6	98.9	44	20152	8.9	25
University of Oxford	3	United Kingdom	88.6	90.7	97.7	95.5	72.9	19919	11.6	34
Stanford University	4	United States of America	91.5	69	96.7	99.1	63.1	15596	7.8	22
University of Cambridge	5	United Kingdom	89.7	87.8	95.6	95.2	51.1	18812	11.8	34
Massachusetts Institute of Technology	6	United States of America	89.1	84.3	88.2	100	95.7	11074	9	33
Princeton University	7	United States of America	86.6	61.2	94.7	99.6	82.7	7929	8.4	27
"University of California, Berkeley"	8	United States of America	84.2	58.5	96.7	99.1	44.8	36186	16.4	15
Imperial College London	9	United Kingdom	84.6	92.7	88.3	89.4	72.7	15060	11.7	51
Yale University	9	United States of America	88.5	59.8	90.8	94	42	11751	4.4	20
University of Chicago	11	United States of America	83.9	65.2	89.9	97.3	36.8	14221	6.9	21
"University of California, Los Angeles"	12	United States of America	82.4	49.2	90.5	95.3	55.93	38206	10.3	15
ETH Zurich Š—– Swiss Federal Institute of Technology Zurich	13	Switzerland	78.2	96.6	90.2	83.5	73.2	18178	14.7	37
Columbia University	14	United States of America	83.9	68.3	79.4	95.3	55.93	25055	5.9	28
Johns Hopkins University	15	United States of America	75.6	59.7	84.2	93.6	100	15128	3.6	23
University of Pennsylvania	16	United States of America	79	43.8	82	94.4	43	20376	6.5	20
University of Michigan	17	United States of America	77	49.8	86.5	88.9	55.7	41786	9	16
Duke University	18	United States of America	73.5	50.5	75.2	96.6	100	15172	4.8	17
Cornell University	19	United States of America	71.6	59	83.8	91.5	33.7	21424	10.2	19
University of Toronto	20	Canada	74.4	71.2	85.1	83	46.1	66198	19.5	15
Northwestern University	21	United States of America	72.7	36.7	78.9	96.9	77	18334	13.8	15
University College London	22	United Kingdom	70.4	90.6	80.4	85.1	46.2	26607	10.7	46
University of Tokyo	23	Japan	81.4	32.4	85.1	74.7	51.2	26199	5.7	10
Carnegie Mellon University	24	United States of America	61.6	59.3	74.9	92	53	11885	13.1	35
National University of Singapore	25	Singapore	72	94.9	78.1	66	53.4	31592	15.5	34
